epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9266,0.98548,2.47473,1.28133,0.0071,1,0.53298,0.34021,0.92514,2.62298,1.20107,0.00014,0.00014,0.00014
2,61.5291,1.02646,1.59136,1.23455,0.67582,0.39271,0.64268,0.43668,0.99765,2.26234,1.22762,0.00029406,0.00029406,0.00029406
3,91.2377,1.00086,1.2895,1.2051,0.75464,0.77202,0.81458,0.55165,1.04255,1.99457,1.23592,0.000441784,0.000441784,0.000441784
4,120.901,1.01706,1.31232,1.22082,0.76459,0.81526,0.8489,0.60922,0.9626,1.88013,1.21374,0.000583172,0.000583172,0.000583172
5,150.49,1.01327,1.25074,1.1757,0.79055,0.68765,0.83845,0.58446,1.02645,1.93019,1.22341,0.000718224,0.000718224,0.000718224
6,179.932,1.00653,1.16249,1.20642,0.77897,0.8583,0.88163,0.63896,0.98848,1.38159,1.18924,0.00084694,0.00084694,0.00084694
7,209.458,1.04179,1.25125,1.23048,0.80204,0.74089,0.80118,0.54166,1.08797,1.76227,1.28523,0.00096932,0.00096932,0.00096932
8,238.954,1.02407,1.1551,1.18941,0.68053,0.74899,0.74597,0.5015,1.10346,1.63465,1.3057,0.00108536,0.00108536,0.00108536
9,268.049,1.04024,1.08873,1.2065,0.69571,0.8701,0.8242,0.55234,1.09338,1.37885,1.32685,0.00119507,0.00119507,0.00119507
10,297.446,1.03712,1.05499,1.20149,0.58307,0.59109,0.58419,0.35067,1.38024,1.7583,1.54868,0.00129844,0.00129844,0.00129844
11,326.714,1.0217,1.08385,1.16876,0.79484,0.79994,0.87441,0.62487,1.00042,1.22913,1.24842,0.00139548,0.00139548,0.00139548
12,356.033,0.97991,1.11604,1.20428,0.72513,0.73684,0.77795,0.53097,1.09696,1.43425,1.28552,0.00148618,0.00148618,0.00148618
13,385.372,1.0553,1.06067,1.18971,0.74247,0.71202,0.74698,0.48739,1.06642,1.62939,1.27457,0.0015248,0.0015248,0.0015248
14,414.77,0.99103,0.9513,1.14557,0.79686,0.87449,0.90007,0.60622,1.00969,1.36404,1.22323,0.0014852,0.0014852,0.0014852
15,443.971,0.91308,0.90909,1.1571,0.82539,0.87854,0.92843,0.68412,0.9554,1.07878,1.18868,0.0014456,0.0014456,0.0014456
16,473.443,0.94817,0.92617,1.17616,0.79785,0.89483,0.89971,0.65977,0.92183,1.09276,1.13881,0.001406,0.001406,0.001406
17,503.206,0.90452,0.97643,1.1227,0.84807,0.90283,0.93101,0.67382,1.00588,1.29131,1.24969,0.0013664,0.0013664,0.0013664
18,532.766,1.03428,0.90345,1.20001,0.82713,0.87854,0.90716,0.65895,0.96669,1.35577,1.2046,0.0013268,0.0013268,0.0013268
19,561.848,0.99277,0.92255,1.16749,0.71021,0.88259,0.8287,0.60269,0.93571,1.39772,1.14515,0.0012872,0.0012872,0.0012872
20,591.042,0.91015,0.87858,1.12123,0.75443,0.80972,0.86297,0.64406,0.8916,1.27882,1.09107,0.0012476,0.0012476,0.0012476
21,620.253,0.9082,0.86047,1.13413,0.84503,0.88664,0.93365,0.6561,1.02475,1.06762,1.1819,0.001208,0.001208,0.001208
22,649.229,0.95141,0.8602,1.15355,0.80617,0.87564,0.90284,0.66987,0.91813,1.1401,1.12649,0.0011684,0.0011684,0.0011684
23,678.17,0.92005,0.9354,1.1187,0.70447,0.90283,0.83361,0.60722,0.95285,1.27151,1.13178,0.0011288,0.0011288,0.0011288
24,707.352,0.91008,0.78301,1.07811,0.82645,0.93117,0.92163,0.70454,0.87593,0.98961,1.08728,0.0010892,0.0010892,0.0010892
25,736.347,0.9293,0.8716,1.15553,0.85419,0.89474,0.94089,0.70834,0.90577,0.90075,1.1046,0.0010496,0.0010496,0.0010496
26,765.609,0.89334,0.7856,1.10173,0.89992,0.88259,0.95564,0.73492,0.86514,0.79097,1.07896,0.00101,0.00101,0.00101
27,794.638,0.87217,0.77109,1.08312,0.86371,0.97496,0.95448,0.74634,0.82365,0.76959,1.04561,0.0009704,0.0009704,0.0009704
28,823.712,0.87414,0.76074,1.08117,0.87553,0.96828,0.94965,0.7421,0.83446,0.75244,1.05551,0.0009308,0.0009308,0.0009308
29,852.989,0.88329,0.75461,1.07197,0.86071,0.96761,0.94687,0.71996,0.85913,0.75433,1.06248,0.0008912,0.0008912,0.0008912
30,881.78,0.83148,0.73565,1.08703,0.88347,0.94332,0.96107,0.7475,0.81022,0.70512,1.03136,0.0008516,0.0008516,0.0008516
31,911.105,0.78874,0.68255,1.0599,0.92092,0.95142,0.97953,0.79623,0.76664,0.65941,1.01093,0.000812,0.000812,0.000812
32,940.304,0.86154,0.71762,1.07793,0.90828,0.96219,0.97809,0.79317,0.77725,0.67533,1.0139,0.0007724,0.0007724,0.0007724
33,969.369,0.78857,0.68356,1.07114,0.92506,0.94959,0.97778,0.78328,0.81437,0.69574,1.02228,0.0007328,0.0007328,0.0007328
34,998.752,0.8162,0.7099,1.07257,0.92912,0.95523,0.98065,0.80143,0.74982,0.63713,0.99196,0.0006932,0.0006932,0.0006932
35,1028.01,0.78579,0.66803,1.04842,0.92232,0.96147,0.98153,0.80592,0.7466,0.60051,0.99136,0.0006536,0.0006536,0.0006536
36,1056.93,0.7831,0.65774,1.04457,0.94304,0.93927,0.9771,0.79896,0.73067,0.59912,0.98833,0.000614,0.000614,0.000614
37,1086.15,0.7717,0.68797,1.02416,0.94293,0.94332,0.98119,0.81023,0.72419,0.58817,0.98681,0.0005744,0.0005744,0.0005744
38,1115.36,0.77179,0.64766,1.04574,0.92355,0.97166,0.98527,0.80661,0.71991,0.56948,0.98144,0.0005348,0.0005348,0.0005348
39,1144.48,0.80448,0.72456,1.06304,0.94455,0.96551,0.98609,0.82493,0.68235,0.60149,0.9646,0.0004952,0.0004952,0.0004952
40,1174.21,0.78688,0.65981,1.04168,0.95923,0.96356,0.98885,0.82694,0.67036,0.59132,0.95681,0.0004556,0.0004556,0.0004556
41,1203.1,0.70648,0.73362,1.03214,0.96759,0.96687,0.98964,0.83441,0.66354,0.60971,0.95145,0.000416,0.000416,0.000416
42,1231.97,0.64169,0.62176,0.95575,0.95264,0.97724,0.98833,0.83376,0.6574,0.62799,0.94376,0.0003764,0.0003764,0.0003764
43,1260.86,0.64961,0.58666,0.99737,0.95667,0.98331,0.98929,0.83774,0.64522,0.63747,0.94207,0.0003368,0.0003368,0.0003368
44,1289.62,0.66445,0.60197,0.99583,0.96891,0.97166,0.99129,0.83793,0.63255,0.56202,0.93896,0.0002972,0.0002972,0.0002972
45,1318.38,0.66203,0.57911,0.97845,0.96433,0.98513,0.99159,0.83015,0.65907,0.51515,0.94974,0.0002576,0.0002576,0.0002576
46,1347.24,0.66795,0.5797,0.97959,0.96466,0.99452,0.9911,0.85049,0.60904,0.48968,0.92654,0.000218,0.000218,0.000218
47,1376.55,0.64126,0.5399,1.0035,0.96828,1,0.99174,0.86033,0.58697,0.47453,0.91881,0.0001784,0.0001784,0.0001784
48,1407.34,0.60938,0.69155,0.97392,0.96896,1,0.99229,0.86109,0.59083,0.46814,0.91851,0.0001388,0.0001388,0.0001388
